[Name]
TurbKE and TurbFreq Quantities

[Data]
"Accumulated Timestep","MAX K-TurbKE","MAX O-TurbFreq"
670,1.43074658e-05,1.70734875e-05
671,1.27900521e-05,1.61073403e-05
672,1.11173867e-05,3.27297530e-05
673,9.93763297e-06,2.75634375e-05
674,1.28201636e-05,1.73944918e-05
675,9.25768109e-06,2.46789132e-05
676,9.24028336e-06,1.62062661e-05
677,1.15860594e-05,1.64592948e-05
678,8.34698403e-06,2.10292674e-05
679,7.78946742e-06,2.12974282e-05
680,7.77820242e-06,2.23628176e-05
681,8.48910076e-06,1.88289087e-05
682,8.90533465e-06,1.54026966e-05
683,7.88606849e-06,2.57092124e-05
684,7.40030646e-06,2.19976482e-05
685,8.05618765e-06,2.12072646e-05
686,8.90312276e-06,2.45481733e-05
687,7.34705554e-06,1.95740631e-05
