[Name]
Heat Transfer

[Data]
"Accumulated Timestep","RMS H-Energy"
694,2.10010603e-06
695,1.99950068e-06
696,1.81857058e-06
697,1.46748823e-06
698,1.51103234e-06
699,1.39799988e-06
700,1.28035833e-06
701,1.28146200e-06
702,1.30826038e-06
703,1.34689174e-06
704,1.41546752e-06
705,1.44677688e-06
706,1.44371552e-06
707,1.54653208e-06
708,1.46839557e-06
709,1.40265900e-06
710,1.46339198e-06
711,1.40897941e-06
712,1.47873925e-06
713,1.54798045e-06
714,1.74933757e-06
715,1.98398880e-06
716,2.03189961e-06
717,2.16030980e-06
718,2.21939194e-06
719,2.07712060e-06
720,1.78701657e-06
721,1.41321425e-06
722,1.47247363e-06
723,1.36129643e-06
724,1.26482837e-06
725,1.31402999e-06
726,1.34277718e-06
727,1.41115322e-06
728,1.49541893e-06
729,1.60103616e-06
730,1.67963844e-06
731,1.61922526e-06
732,1.57093598e-06
733,1.54425959e-06
734,1.39414226e-06
735,1.42580120e-06
736,1.52715677e-06
737,1.63842674e-06
738,1.81543066e-06
739,2.01441935e-06
740,2.14681654e-06
741,2.02287947e-06
742,2.00319164e-06
743,1.85025692e-06
744,1.44247667e-06
745,1.50205460e-06
746,1.42020338e-06
747,1.25658210e-06
748,1.28745000e-06
749,1.32116645e-06
750,1.41658381e-06
751,1.52339408e-06
752,1.54391648e-06
753,1.58812350e-06
754,1.58116734e-06
755,1.57375325e-06
756,1.54676366e-06
757,1.51627148e-06
758,1.43077762e-06
759,1.47714957e-06
760,1.58979606e-06
761,1.69469365e-06
762,1.93399660e-06
763,2.16919602e-06
764,2.27405530e-06
765,2.01105695e-06
766,1.82742781e-06
767,1.47272181e-06
768,1.53433461e-06
769,1.42366491e-06
770,1.27682006e-06
771,1.27715691e-06
772,1.31617583e-06
773,1.38903908e-06
774,1.42614920e-06
775,1.52823009e-06
776,1.53134340e-06
777,1.63062111e-06
778,1.62981007e-06
779,1.49200912e-06
780,1.54585132e-06
781,1.40789427e-06
782,1.46426180e-06
783,1.57076590e-06
784,1.74679792e-06
785,1.92408015e-06
786,1.47587059e-06
787,1.50449068e-06
788,1.52845246e-06
789,1.51770780e-06
790,1.49940900e-06
791,1.54512395e-06
792,1.52648749e-06
793,1.50142057e-06
794,1.50344533e-06
795,1.50319499e-06
796,1.48319089e-06
797,1.46220191e-06
798,1.44288992e-06
799,1.42927968e-06
800,1.42232818e-06
801,1.41967564e-06
802,1.42332999e-06
803,1.43358261e-06
804,1.44462967e-06
805,1.45988645e-06
806,1.48040715e-06
807,1.50419635e-06
808,1.52590144e-06
809,1.55076145e-06
810,1.57680643e-06
811,1.60248419e-06
812,1.62742094e-06
813,1.65628501e-06
814,1.68338363e-06
815,1.70774456e-06
816,1.73524450e-06
