[Name]
TurbKE and TurbFreq Quantities

[Data]
"Accumulated Timestep","RMS K-TurbKE","RMS O-TurbFreq"
389,2.59308877e-06,2.10113535e-06
390,2.22425365e-06,8.28642840e-07
391,1.82741178e-06,7.44900547e-07
392,1.42756073e-06,1.44752028e-06
393,1.11121244e-06,1.78675782e-06
394,1.08066013e-06,1.90291462e-06
395,1.47597325e-06,1.90901301e-06
396,1.29296677e-06,1.90231628e-06
397,1.39030624e-06,1.91311619e-06
398,1.50111907e-06,1.97292707e-06
399,1.60167235e-06,2.08936808e-06
400,1.69236660e-06,2.19264371e-06
401,1.76018591e-06,2.25236931e-06
402,1.82812687e-06,2.19937260e-06
403,1.85283398e-06,1.94574932e-06
404,1.80592542e-06,1.37702250e-06
405,1.67821179e-06,5.00383180e-07
406,1.51249549e-06,8.74777243e-07
407,1.42364263e-06,2.35977723e-06
408,1.71116324e-06,3.78425557e-06
409,2.28742533e-06,4.74584613e-06
410,2.78484140e-06,4.97295468e-06
411,3.00576426e-06,4.39803625e-06
412,2.94857955e-06,3.21152606e-06
413,2.66188590e-06,1.74606339e-06
414,2.23242637e-06,6.61744480e-07
415,1.80232951e-06,1.28561476e-06
416,1.35582070e-06,1.89316631e-06
417,1.15238379e-06,2.00500017e-06
418,1.24943745e-06,1.98319344e-06
419,1.62492006e-06,1.94596009e-06
420,1.38552639e-06,1.93019741e-06
421,1.49995867e-06,1.97743293e-06
422,1.60987372e-06,2.07736889e-06
423,1.71847546e-06,2.21252640e-06
424,1.81133032e-06,2.31900322e-06
425,1.89248817e-06,2.40718828e-06
426,1.96320798e-06,2.30417345e-06
427,1.98021326e-06,1.94268682e-06
428,1.91242452e-06,1.19292270e-06
429,1.75691594e-06,2.36539890e-07
430,1.59669605e-06,1.56785256e-06
431,1.62080664e-06,3.24630128e-06
432,2.09259724e-06,4.66890197e-06
433,2.73931755e-06,5.41061218e-06
434,3.16663227e-06,5.23967083e-06
435,3.27403313e-06,4.23206893e-06
436,3.07424443e-06,2.70422493e-06
437,2.66220559e-06,1.04607295e-06
438,2.19076219e-06,1.07157996e-06
439,1.66631662e-06,2.03927448e-06
440,1.27968610e-06,2.25493909e-06
441,1.29602404e-06,2.10401186e-06
442,1.41766702e-06,2.02645515e-06
443,1.63175116e-06,1.97326358e-06
444,1.52112796e-06,1.96225619e-06
445,1.62888443e-06,2.03089826e-06
446,1.73404919e-06,2.19132562e-06
447,1.83994621e-06,2.33069318e-06
448,1.92720495e-06,2.49243612e-06
449,2.01959438e-06,2.47254911e-06
450,2.08009010e-06,2.31329454e-06
451,2.06342520e-06,1.77323830e-06
452,1.95218968e-06,7.74338844e-07
453,1.78404969e-06,7.81571941e-07
454,1.65396352e-06,2.52196992e-06
455,1.93614551e-06,4.26693532e-06
456,2.56782369e-06,5.46771435e-06
457,3.16105570e-06,5.75627791e-06
458,3.44630757e-06,5.05844218e-06
459,3.37622373e-06,3.62142691e-06
460,3.03504021e-06,1.86488376e-06
461,2.54090833e-06,8.77151138e-07
