[Name]
Heat Transfer

[Data]
"Accumulated Timestep","RMS H-Energy"
433,2.39738933e-04
434,2.40267167e-04
435,2.40282767e-04
436,2.40673049e-04
437,2.39647634e-04
438,2.38308887e-04
439,2.37956876e-04
440,2.38351873e-04
441,2.39355883e-04
442,2.40573572e-04
443,2.41786969e-04
444,2.42250215e-04
445,2.42655908e-04
446,2.43935880e-04
447,2.43758725e-04
448,2.43994698e-04
449,2.44058334e-04
450,2.44631752e-04
451,2.45949021e-04
452,2.47218646e-04
453,2.47789983e-04
454,2.47426273e-04
455,2.46541080e-04
456,2.45877512e-04
457,2.44371389e-04
458,2.43937873e-04
459,2.44115334e-04
460,2.43794755e-04
461,2.43702045e-04
462,2.43906994e-04
463,2.42962065e-04
464,2.42702314e-04
465,2.42621376e-04
466,2.40764901e-04
467,2.39305853e-04
468,2.38124368e-04
469,2.37869375e-04
470,2.37341897e-04
471,2.36984706e-04
472,2.36157794e-04
473,2.35444415e-04
474,2.34025472e-04
475,2.33454353e-04
476,2.33143612e-04
477,2.32752645e-04
478,2.31935643e-04
479,2.31019905e-04
480,2.29515164e-04
481,2.28579971e-04
482,2.28910401e-04
483,2.29174912e-04
484,2.29222584e-04
485,2.28869583e-04
486,2.27530647e-04
487,2.25985015e-04
488,2.24604941e-04
489,2.23342693e-04
490,2.22775343e-04
491,2.22808565e-04
492,2.23156327e-04
493,2.22035014e-04
494,2.20863803e-04
495,2.19909038e-04
496,2.19322057e-04
497,2.19104448e-04
498,2.19092297e-04
499,2.18486603e-04
500,2.17288863e-04
501,2.15126143e-04
502,2.13565028e-04
503,2.11460399e-04
504,2.10098995e-04
505,2.09325037e-04
506,2.08491896e-04
507,2.07865625e-04
508,2.07818914e-04
509,2.08093945e-04
510,2.07778503e-04
511,2.07645266e-04
512,2.06148965e-04
513,2.04596974e-04
514,2.04068056e-04
515,2.01896706e-04
516,2.00842624e-04
517,1.99923423e-04
518,1.98193084e-04
519,1.97427653e-04
520,1.96452107e-04
521,1.96026114e-04
522,1.95006374e-04
523,1.95011598e-04
524,1.95825254e-04
525,1.95592773e-04
526,1.95943154e-04
527,1.95420653e-04
528,1.93518965e-04
529,1.92123262e-04
530,1.90080435e-04
531,1.88035658e-04
532,1.86488207e-04
533,1.84871358e-04
534,1.84358069e-04
535,1.85216297e-04
536,1.84680830e-04
537,1.84138858e-04
538,1.84237593e-04
539,1.83580734e-04
540,1.82623029e-04
541,1.82517426e-04
542,1.81851065e-04
543,1.80825227e-04
544,1.80593677e-04
545,1.79992363e-04
546,1.79388153e-04
547,1.78953327e-04
548,1.78549206e-04
549,1.78626331e-04
550,1.79135284e-04
551,1.77901195e-04
552,1.76692032e-04
553,1.76040863e-04
554,1.74929170e-04
555,1.73275417e-04
556,1.72841406e-04
557,1.72467582e-04
558,1.71857580e-04
559,1.71580294e-04
560,1.71951397e-04
561,1.72549611e-04
562,1.72684275e-04
563,1.72183369e-04
564,1.71346939e-04
565,1.70708212e-04
566,1.70433719e-04
567,1.69417326e-04
568,1.67770821e-04
569,1.66520374e-04
570,1.65637655e-04
571,1.64610610e-04
572,1.63061646e-04
573,1.62035387e-04
574,1.61075397e-04
575,1.60705240e-04
576,1.60005453e-04
577,1.59824223e-04
578,1.60447933e-04
579,1.61003525e-04
