[Name]
Plot Monitor 1

[Data]
"Accumulated Timestep","U-Mom Boundary Flow on INLET"
849,6.46097188e+05
850,6.46097562e+05
851,6.46097938e+05
852,6.46098250e+05
853,6.46098625e+05
854,6.46099000e+05
855,6.46099375e+05
856,6.46099750e+05
857,6.46100062e+05
858,6.46100438e+05
859,6.46100812e+05
860,6.46101188e+05
861,6.46101500e+05
862,6.46101875e+05
863,6.46102250e+05
864,6.46102625e+05
865,6.46103000e+05
866,6.46103312e+05
867,6.46103688e+05
868,6.46104062e+05
869,6.46104375e+05
870,6.46104750e+05
871,6.46105125e+05
872,6.46105500e+05
873,6.46105812e+05
874,6.46106188e+05
875,6.46106562e+05
876,6.46106875e+05
877,6.46107250e+05
878,6.46107562e+05
879,6.46107938e+05
880,6.46108312e+05
881,6.46108625e+05
882,6.46109000e+05
883,6.46109312e+05
884,6.46109688e+05
885,6.46110000e+05
886,6.46110375e+05
887,6.46110688e+05
888,6.46111062e+05
889,6.46111438e+05
890,6.46111750e+05
891,6.46112125e+05
892,6.46112438e+05
893,6.46112812e+05
894,6.46113125e+05
895,6.46113500e+05
896,6.46113812e+05
897,6.46114188e+05
898,6.46114500e+05
899,6.46114875e+05
900,6.46115188e+05
901,6.46115562e+05
902,6.46115875e+05
903,6.46116250e+05
904,6.46116562e+05
905,6.46116875e+05
906,6.46117250e+05
907,6.46117562e+05
908,6.46117875e+05
909,6.46118250e+05
910,6.46118562e+05
911,6.46118875e+05
912,6.46119188e+05
913,6.46119500e+05
914,6.46119812e+05
915,6.46120125e+05
916,6.46120500e+05
917,6.46120750e+05
918,6.46121062e+05
919,6.46121375e+05
920,6.46121688e+05
921,6.46122000e+05
922,6.46122312e+05
923,6.46122625e+05
924,6.46122938e+05
925,6.46123188e+05
926,6.46123500e+05
927,6.46123812e+05
928,6.46124062e+05
929,6.46124375e+05
930,6.46124688e+05
931,6.46125000e+05
932,6.46125250e+05
933,6.46125562e+05
934,6.46125812e+05
935,6.46126125e+05
936,6.46126375e+05
937,6.46126688e+05
938,6.46127000e+05
939,6.46127250e+05
940,6.46127500e+05
941,6.46127812e+05
942,6.46128062e+05
943,6.46128375e+05
944,6.46128625e+05
945,6.46128938e+05
946,6.46129188e+05
947,6.46129500e+05
948,6.46129750e+05
949,6.46130000e+05
950,6.46130312e+05
951,6.46130562e+05
952,6.46130812e+05
953,6.46131125e+05
954,6.46131375e+05
955,6.46131625e+05
956,6.46131875e+05
957,6.46132125e+05
958,6.46132438e+05
959,6.46132688e+05
960,6.46132938e+05
961,6.46133188e+05
962,6.46133438e+05
963,6.46133688e+05
964,6.46133938e+05
965,6.46134188e+05
966,6.46134438e+05
967,6.46134750e+05
968,6.46135000e+05
969,6.46135250e+05
970,6.46135500e+05
971,6.46135750e+05
972,6.46136000e+05
973,6.46136312e+05
974,6.46136562e+05
975,6.46136812e+05
976,6.46137125e+05
977,6.46137375e+05
978,6.46137625e+05
979,6.46137938e+05
980,6.46138188e+05
981,6.46138500e+05
982,6.46138750e+05
983,6.46139000e+05
984,6.46139312e+05
985,6.46139625e+05
986,6.46139875e+05
987,6.46140188e+05
988,6.46140500e+05
989,6.46140750e+05
990,6.46141062e+05
991,6.46141375e+05
992,6.46141688e+05
993,6.46142000e+05
994,6.46142312e+05
995,6.46142625e+05
996,6.46143000e+05
997,6.46143312e+05
998,6.46143625e+05
999,6.46143938e+05
1000,6.46144250e+05
1001,6.46144625e+05
1002,6.46144938e+05
1003,6.46145250e+05
1004,6.46145562e+05
1005,6.46145938e+05
1006,6.46146250e+05
1007,6.46146562e+05
1008,6.46146938e+05
1009,6.46147250e+05
1010,6.46147562e+05
1011,6.46147938e+05
1012,6.46148250e+05
1013,6.46148625e+05
1014,6.46148938e+05
1015,6.46149250e+05
1016,6.46149625e+05
1017,6.46150000e+05
1018,6.46150312e+05
1019,6.46150625e+05
1020,6.46151000e+05
1021,6.46151375e+05
1022,6.46151688e+05
1023,6.46152062e+05
1024,6.46152375e+05
1025,6.46152750e+05
1026,6.46153125e+05
1027,6.46153438e+05
1028,6.46153812e+05
1029,6.46154188e+05
1030,6.46154500e+05
1031,6.46154875e+05
1032,6.46155250e+05
1033,6.46155562e+05
1034,6.46155938e+05
1035,6.46156312e+05
1036,6.46156688e+05
1037,6.46157062e+05
1038,6.46157438e+05
1039,6.46157750e+05
1040,6.46158125e+05
1041,6.46158500e+05
1042,6.46158875e+05
1043,6.46159250e+05
1044,6.46159625e+05
1045,6.46160000e+05
1046,6.46160375e+05
1047,6.46160750e+05
1048,6.46161125e+05
1049,6.46161500e+05
1050,6.46161875e+05
1051,6.46162250e+05
1052,6.46162625e+05
1053,6.46163062e+05
1054,6.46163438e+05
1055,6.46163812e+05
1056,6.46164188e+05
1057,6.46164562e+05
