[Name]
Series 1 at PressurePorts

[Data]
X [ m ],Cp [ m s^-1 ]
2.76646525e-001, -5.20772278e-001
2.78665870e-001, -5.12416244e-001
2.80684739e-001, -5.04364550e-001
2.82717764e-001, -4.96565521e-001
2.84750313e-001, -4.89012361e-001
2.86797047e-001, -4.81530935e-001
2.88843274e-001, -4.74062800e-001
2.90903628e-001, -4.66442347e-001
2.92963505e-001, -4.58668083e-001
2.95052081e-001, -4.50598687e-001
2.97140181e-001, -4.42380786e-001
2.99256980e-001, -4.33929741e-001
3.01373243e-001, -4.25462127e-001
3.03503603e-001, -4.16971505e-001
3.05633456e-001, -4.08553213e-001
3.07791919e-001, -4.00070995e-001
3.09949845e-001, -3.91630977e-001
3.12150955e-001, -3.83031160e-001
3.14351529e-001, -3.74435157e-001
3.16609800e-001, -3.65570992e-001
3.18867475e-001, -3.56702685e-001
3.21168214e-001, -3.47624838e-001
3.23468328e-001, -3.38531613e-001
3.25840592e-001, -3.29107344e-001
3.28212142e-001, -3.19658309e-001
3.30670267e-001, -3.09773594e-001
3.33127648e-001, -2.99832791e-001
3.35715115e-001, -2.89270937e-001
3.38301778e-001, -2.78720319e-001
3.41047406e-001, -2.67493725e-001
3.43792170e-001, -2.56322950e-001
3.46768260e-001, -2.44145781e-001
3.49743247e-001, -2.31951192e-001
3.52978230e-001, -2.18509063e-001


